franchise,cluster,cluster_ward
The Walking Dead,1,1
The 100,1,1
Spartacus,1,1
The Hunger Games,1,1
Lord of the Rings,1,1
Vikings,1,1
Alien vs Predator,0,0
Peaky Blinders,1,1
Westworld,1,1
Supernatural,1,1
The Boys,1,1
The Matrix,1,1
Mission: Impossible,1,1
James Bond 007,0,0
Game of Thrones,1,1
Sons of Anarchy,1,1
Stranger Things,1,1
Avatar,1,1
Dexter,1,1
DC Extended Universe,1,1
Jurassic Park,0,1
Indiana Jones,0,0
Star Wars,0,0
Pirates of the Caribbean,1,1
Marvel Cinematic Universe,0,0
The Twilight Saga,1,1
The Sopranos,1,1
Lost,1,1
Breaking Bad / Better Call Saul,1,1
Ozark,1,1
Boardwalk Empire,1,1
Harry Potter,1,1
Transformers,1,1
Dune,1,1
The Wire,1,1
Fast & Furious,1,1
Grey's Anatomy,1,1
Prison Break,1,1
